Question,Answer,SMART Question,Advisor Answer
Can zerocoupon bonds go down in price?,"Certainly, yes, a zero coupon bond can go down in price. If interest rates rise before your bond matures, the price of the bond will go down  and the longer to maturity, the more it will tend to drop. Depending on when you bought and how much interest rates rise, you can incur a capital loss. The bond is guaranteed to be worth a certain amount at maturity as long as the issuer hasnt defaulted, but before maturity the market price of the bond will fluctuate, primarily based on interest rate movements. In fact, zero coupon bonds are even more interestratesensitive than regular bonds which have periodic coupon interest payments.",What are the specific considerations and implications related to: Can zerocoupon bonds go down in price?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
"Transfer 50k to another persons account in California, USA","It will not be a problem people regularly move larger sums. It will be reported to law authorities as large enough to be potentially of interest, but since you can explain it thats fine.","What are the specific considerations and implications related to: Transfer 50k to another persons account in California, USA?",This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
"Which practice to keep finances after getting married joint, or separate?","I feel there are two types of answer One the financial. Suck all the emotion out of the situation, and treat the two individuals as individuals. If that works for the two of you, fantastic. Two the philosophical. Youre married, its a union, so unify the funds. If that works for you, fantastic. Personally, my partner and I do the latter. The idea of separate pots and separate accounts and one mixed fund etc makes no sense to us. But thats us. The first step for you in deciding on an approach is to know yourselves as people  and everything else will follow.","What are the specific considerations and implications related to: Which practice to keep finances after getting married joint, or separate?",This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Is it possible to sell a stock at a higher value than the market price?,"You can ask for 305rs, but as long as shares are available at lower prices you wont sell. Only when your ask becomes the lowest available price will someone buy from you. See many past questions about how buyers and sellers are matched by the market.",What are the specific considerations and implications related to: Is it possible to sell a stock at a higher value than the market price?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
What to ask Warren Buffet at the Berkshire Hathaway shareholder meeting? ,I would be curious how he balanced having two female life partners at once. Not sure I would ask that at the shareholder meeting though ,What are the specific considerations and implications related to: What to ask Warren Buffet at the Berkshire Hathaway shareholder meeting?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
How can I borrow in order to improve a home I just bought?,"Be careful that pride is not getting in the way of making a good decision. As it stands now what difference does it make to have 200K worth of debt and a 200K house or 225K of debt and a 250K house? Sure you would have a 25K higher net worth, but is that really important? Some may even argue that such an increase is not real as equity in primary residence might not be a good indication of wealth. While there is nothing wrong with sitting down with a banker, most are likely to see your scheme as dubious. Home improvements rarely have a 100 ROI and almost never have a 200 ROI, Id say youd be pretty lucky to get a 65 ROI. That is not to say they will deny you. The banks are in the business of lending money, and have the goal of taking as much of your hard earned paycheck as possible. They are always looking to ""sheer the sheep"". Why not take a more systematic approach to improving your home? Save up and pay cash as these dont seem to cause significant discomfort. With that size budget and some elbow grease you can probably get these all done in three years. So in three years youll have about 192K in debt and a home worth 250K or more.",What are the specific considerations and implications related to: How can I borrow in order to improve a home I just bought?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
To whom should I report fraud on both of my credit cards?,"First thing to do when you notice a credit card fraud is to call the respective banks who issues the credit card and most banks immediately as far as my experience goes  twice they will cancel the credit card and issue a new card with different number. Your credit card account will remain the same, no effect on credit score as the account is still active, its just the credit card number is changed. If you are more concerned about Identity Theft, there are two further options you can pursue. Place a Fraud Alert  Ask 1 of the 3 credit reporting companies to put a fraud alert on your credit report. They must tell the other 2 companies. An initial fraud alert can make it harder for an identity thief to open more accounts in your name. The alert lasts 90 days but you can renew it.  as per Federal Trade Commission Credit Freeze  If youre concerned about identity theft, those reported megadata breaches, or someone gaining access to your credit report without your permission, you might consider placing a credit freeze on your report.  as per Federal Trade Commission",What are the specific considerations and implications related to: To whom should I report fraud on both of my credit cards?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Pending euro payment to a usd account,"Currency exchange is rather the norm than the exception in international wire transfers, so the fact that the amount needs to be exchanged should have no impact at all. The processing time depends on the number of participating banks and their speeds. Typically, between Europe and the US, one or two business days are the norm. Sending from Other countries might involve more steps banks which each takes a bit of time. However, anything beyond 5 business days is not normal. Consider if there are external delays  how did you initiate the sending? Was it in person with an agent of the bank, who might have put it on a stack, and they type it in only a day later or worse? Or was it online, so it is in the system right away? On the receiver side, how did youyour friend check? Could there be a delay by waiting for an account statement? Finally, and that is the most common reason, were all the numbers, names, and codes absolutely correct? Even a small mismatch in name spelling might trigger the receiving bank to not allocate the money into the account. Either way, if you contact the sender bank, you will be able to make them follow up on it. They must be able to trace where they money went, and where it currently is. If it is stuck, they will be able to get it unstuck.",What are the specific considerations and implications related to: Pending euro payment to a usd account?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Why use accounting software like Quickbooks instead of Excel spreadsheets?,"Here are the few points Hope that helps,",What are the specific considerations and implications related to: Why use accounting software like Quickbooks instead of Excel spreadsheets?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Foreign national currently working in U.S.  investing in 401k plan How will taxes apply?,"The 401k contribution is Federal tax free, when you make the contribution, and most likely State too. I believe that is true for California, specifically. There was a court case some years ago about people making 401k or IRA contributions in New York, avoiding the New York state income tax. Then they moved to Florida no income tax, and took the money out. New York sued, saying they had to pay the New York income tax that had been deferred, but the court said no. So you should be able to avoid California state income tax, and then later if you were to move to, for example, Texas no income tax, have no state income tax liability. At the Federal level, you will have different problems. You wont have the money it will be held by the 401k trustee. When you try to access the money cash the account out, you will have to pay the deferred taxes. Effectively, when you remove the money it becomes income in the year it is removed. You can take the money out at any time, but if you are less than 59 12 at the time that you take it, there is a 10 penalty. The agreement is that the Feds let you defer paying the tax because it is going to finance your retirement, and they will tax it later. If you take it out before 59 12, they figure you are not retired yet, and are breaking your part of the agreement. Of course you can generally leave the money in the 401k plan with your old employer and let it grow until you are 59.5, or roll it over into another 401k with a new employer if they let you, or into an IRA. But if you have returned to your own country, having an account in the U.S. would introduce both investment risk and currency risk. If you are in another country when you want the money, the question would be where your U.S. residence would be. If you live in California, then go to, say France, your U.S. residence would still be California, and you would still owe California income tax. If you move from California to Texas and then to France, your U.S. residence would be Texas. This is pretty vague, as you might have heard in the Rahm Emanual case  was he a resident of Chicago or Washington, D.C.? Same problem with Howard Hughes who was born in Texas, but then spent most his life in California, then to Nevada, then to Nicaragua, and the Bahamas. When he died Texas, California and Nevada all claimed him as a resident, for estate taxes. The important thing is to be able to make a reasonable case that you are a resident of where ever you want to be  drivers license, mailing address, living quarters, and so on.","What are the roles and responsibilities of the administrator, broker, and custodian in managing a Solo 401(k), especially during account setup and IRS reporting?","As the administrator of a Solo 401(k), you're responsible for compliance and IRS reporting. The broker executes trades, and the custodian holds your assets. Schwab often acts as both. You only file Form 5500 once assets exceed $250K."
Online transaction  Money taken out late,"Debit Cards have a certain processing delay, ""lag time"", before the transaction from the vendor completes with your bank. In the US its typically 3 business days but I have seen even a 15 day lag from Panera Bread. I guess in the UK, payment processors have similar processing delays. A business is not obliged to run its payment processing in realtime, as thats very expensive. Whatever be the lag time, your bank is supposed to cover the payment you promised through your card. Now if you dont have agreements in place for example, overdraft with your bank, they will likely have to turn down payments that exceed your available balance. Here is the raw deal In the end, the responsibility to ensure that your available balance is enough is upon you and whether you have agreements in place to handle such situations So what happened is very much legal, a business is not obliged to run its payment processing in realtime and no ethics are at stake. To ensure such things do not happen to me, I used to use a subaccount from which my debit card used to get paid. I have since moved to credit cards as the hassle of not overdrawing was too much and overdraft fees from banks in the US are disastrous, especially for people who actually need such a facility",What are the specific considerations and implications related to: Online transaction  Money taken out late?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Is 0 credit card utilization worse than 120 credit card utilization for any reason other than pure statistics?,"I too was very confused when I tried to be tricky and paid down my balance BEFORE the bill date. I thought this would be a great thing because it would show my utilization near zero percent. The opposite happen, it dropped my credit score from 762 to 708. Here is the best example I can come up with when it comes to utilization. Lets pretend you are an insurance company and you trying to figure out who are the best risk drivers. The people that drive 10 of the day are a better risk than the people that drive 50 of the day. The people that drive 50 of the day are a better risk than the people that drive 90 of the day. Here is the rub when people drive 0. When you look at the people at 0 they appear to be walking, busing or flying. What they are NOT doing is driving. Since they are not driving using Credit they are viewed as POOR drivers since they are not keeping up on their driving skills. Paying bills, watching how they spend, and managing their debt. So, now before the billing date I pay down my balance to something between 5 to 10 of my utilization. After the bill is issued, I pay it off in FULL.  I am not going to PAY these crazy interest rates. What shows up on my credit report is a person that is driving his credit between 5 and 10 utilization. It shows I know I how to manage my revolving accounts. I know its dumb, you would think they reward people that have zero debt, I dont hate banks I hate the game.  I do love me some reward points ",What are the specific considerations and implications related to: Is 0 credit card utilization worse than 120 credit card utilization for any reason other than pure statistics?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
How to rebalance a portfolio without moving money into losing investments,"Also, almost by definition rebalancing involves making more trades than you would have otherwise wouldnt the additional trading fees you incurred in doing so reduce the benefits of this strategy? You forgot to mention taxes. Rebalancing does or rather can incur costs. One way to minimize the costs is to use the parts of the portfolio that have essentially zero cost of moving. These generally are the funds in your retirement accounts. In the United States they can be in IRAs or 401Ks they can be regular or Roth. Selling winners withing the structure of the plan doesnt trigger capital gains taxes, and many have funds within them that have zero loads. Another way to reduce trading fees is to only rebalance once a year or once every two years or by setting a limit on how far out of balance. For example dont rebalance at 6139 to get back to 6040 even if it has been two years. Given that the ratio of investments is often rather arbitrary to begin with, how do I know whether Im selling high and buying low or just obstinately sticking with a losing asset ratio? The ratio used in an example or in an article may be arbitrary, but your desired ratio isnt arbitrary. You selected the ratio of your investments based on several criteria your age, your time horizon, your goals for the money, how comfortable you are with risk. As these change during your investing career those ratios would also morph. But they arent arbitrary. These decisions to rebalance are separate from the ones to sell a particular investment. You could sell Computer Company X because of how it is performing, and buy stock in Technology Company Y because you think it has a better chance of growing. That transaction would not be a rebalancing. Selling part of your stock in Domestic Company A to buy stock in international Company B would be part of a rebalancing.",What are the specific considerations and implications related to: How to rebalance a portfolio without moving money into losing investments?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
"If I put dividendpaying stocks in my IRA, where does the dividend go when paid?","The dividend goes into the IRA either reinvested automatically or remains as cash until you invest it, per your choice. Youre not taxed on this dividend IRA is a taxeddeferred account  youre taxed on the distributions, but not on the capital gains within the account.","What are the specific considerations and implications related to: If I put dividendpaying stocks in my IRA, where does the dividend go when paid?",This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
How to get a down payment for your next home? Use current home as the down payment on the new one?,"I know youve clarified that youre in the US, but in case anyone else comes across this question in the UK this is completely normal including if you still have outstanding mortgage on your current home. We end up with long ""chains"" of buyers and sellers all completing  moving on the same day so that the proceeds from one sale can be used as the downpayment on the next.",What are the specific considerations and implications related to: How to get a down payment for your next home? Use current home as the down payment on the new one?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Unable to understand logic behind why there is no exit load on liquid fund,"I think you are having trouble understanding what liquid means. Liquidity refers to how easily an asset can be converted to cash. More liquid  more easily converted to cash, less liquid, less so. Any kind of exit load is going to make an asset less liquid due to the penalties associated with making the sale. So, the whole point of liquid funds is to give people the option of selling quickly if they need to. Since an exit load is meant to discourage this behavior, liquid funds tend not to have one. The point isnt what the financial institution gets, its about offering a service to clients with a particular investment need.",What are the specific considerations and implications related to: Unable to understand logic behind why there is no exit load on liquid fund?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
"Website for managing personal cash inflow and outflow, applicable to India? ","httpsmoneycenter.yodlee.com You can link your bank accounts, credit cards, trading accounts etc at Yodlee. These will be updated automatically if you share your username and password from your existing financial institutions. You also have the option of creating manual accounts. You will have to manually addupdate transactions.","What are the specific considerations and implications related to: Website for managing personal cash inflow and outflow, applicable to India?",This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
How to account for Capital Gains Losses in doubleentry accounting?,"First, the balance sheet is where assets, liabilities,  equity live. Balance Sheet Identity Assets  Liabilities  Equity The income statement is where income and expenses live. General Income Statement Identity Income  Revenue  Expenses If you want to model yourself correctly like a business, change your ""income"" account to ""revenue"". Recognized  Realized If you havent yet closed the position, your gainloss is ""recognized"". If you have closed the position, its ""realized"". Recognized Capital GainsLosses Assuming no change in margin requirements Margin interest should increase margin liabilities thus decrease equity and can be booked as an expense on the income statement. Margin requirements for shorts should not be booked under liabilities unless if you also book a contraasset balancing out the equity. Ask a new question for details on this. Realized Capital GainsLosses Balance Sheet Identity Concepts One of the most fundamental things to remember when it comes to the balance sheet identity is that ""equity"" is derived. If your assets increasedecrease while liabilities remain constant, your equity increasesdecreases. Double Entry Accounting The most fundamental concept of double entry accounting is that debits always equal credits. Heres the beauty if things dont add up, make a new debitcredit account to account for the imbalance. This way, the imbalance is always accounted for and can help you chase it down later, the more specific the account label the better.",What are the specific considerations and implications related to: How to account for Capital Gains Losses in doubleentry accounting?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
What would I miss out on by self insuring my car?,"You lose your agent services. When my wife wrecked our car 3 years ago our agent took care of everything. He got us a rental car, made the arrangements to get it fixed, checked in to see how we were doing, and even helped us set up a second opinion on my wifes wrist surgery. The accident was ruled the fault of the uninsured driver who decided to take off through the red light. But our insurance was the one that covered it all total expenses over 80k. We would have had to eat most of those with out full coverage. Most everything was set up our rental car, estimates on repair, even her inital consutation with the surgeon before the investigator had filed her report. Our agents first question was is everyone ok. His second was what can i do to help? He never asked us what happened and was always ahead of our needs in dealing with it. If these things are not important to you, you can probably save quite a bit of money self insuring. But if you are in an accident and unable to do them yourself, do you have someone to do it for you? Do you trust them to handle your business and are you willing to saddle them with the responsibility of dealing with it? To me insurance is less about me and more about my family. It was nice that my agent did all of that for me. I would have been willing to do it myself though. But I am glad to know he is there for my wife if something happens to me.",What are the specific considerations and implications related to: What would I miss out on by self insuring my car?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Can a trade happen in between the bid and ask price?,"Re A trader when buying needs to buy at the ask price and when selling needs to sell at the bid price. So how can a trade happen in between the bid and ask? Saying the trade can happen ""in between"" the bid  ask is simplistic. There is a time dimension to the market. Its more accurate to say that an order can be placed ""in between"" the current best bid  ask observed at time T0, thus establishing a new level for one or the other of those quoted prices observed at time T0. If you enter a market order to buy or sell, then yes, youll generally be accepting the current best ask or best bid with your order, because thats what a market order says to do Accept the current best market price being offered for your kind of transaction. Of course, prices may move much faster than your observation of the price and the time it takes to process your order  youre far from being the only participant. Market orders aside, you are free to name your own price above or below the current best bid  ask, respectively. ... then one could say that you are placing an order ""in between"" the bid and ask at the time your order is placed. However  and this is key  you are also moving one or the other of those quoted prices in the process of placing your abovebid buy order or your belowask sell order. Then, only if somebody else in the market chooses to accept your new ask or bid does your intended transaction take place. And that transaction takes place at the new ask or bid price, not the old one that was current when you entered your order. Read more about bid  ask prices at this other question p.s. FWIW, I dont necessarily agree with the assertion from the article you quoted, i.e. ""By looking for trades that take place in between the bid and ask, you can tell when a strong trend is about to come to an end."" I would say Maybe, perhaps, but maybe not.",What are the specific considerations and implications related to: Can a trade happen in between the bid and ask price?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Is SIPC coverage on cash as strong as FDIC?,"For cash, SIPC insurance is similar to FDIC insurance. Your losses are not covered, but youre covered in case of fraud. Since your cash is supposed to be in a trust account and not commingled with brokerages funds, in case of bankruptcy you would still have your cash unless there was fraud.",What are the specific considerations and implications related to: Is SIPC coverage on cash as strong as FDIC?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Why charge gross receipts taxes to the customer?,"the state of New Mexico provides guidance in this exact situation. On page 4 Gross receipts DOES NOT include Example When the seller passes tax to the buyer, the seller should separate, or back out, that tax from the total income to arrive at ""Gross Receipts,"" the amount reported in Column D of the CRS1 Form. Please see the example on page 48. and on page 48 How do I separate back out gross receipts tax from total gross receipts? See the following examples of how to separate the gross receipts tax 1 To separate back out tax from total receipts at the end of the report period, first subtract deductible and exempt receipts, and then divide total receipts including the tax for the report period by one plus the applicable gross receipts tax rate. For example, if your tax rate is 5.5 and your total receipts including tax are 1,055.00 with no deductions or exemptions, divide 1,055.00 by 1.055. The result is your gross receipts excluding tax to enter in Column D of the CRS1 Form or 1,000. 2 If your tax rate is 5.5, and your total gross receipts including tax are 1,055.00, and included in that figure are 60 in deductions and another 45 in exemptions a Subtract 105 the sum of your deductions and exemptions from 1,055. The remainder is 950. This figure still includes the tax you have recovered from your buyers. b Divide 950 by 1.055 1 plus the 5.5 tax rate. The result is 900.47. c In Column D enter the sum of 900.47 plus 60 the amount of deductible receipts, or 960.47. This figure is your gross receipts excluding tax.",What are the specific considerations and implications related to: Why charge gross receipts taxes to the customer?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Whats a good personal finance management web app that I can use in Canada?,"Now, if youre still intrested, Mint.com works also for Canadian banks. Mint Canada",What are the specific considerations and implications related to: Whats a good personal finance management web app that I can use in Canada?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Can you sell stockscommodities for any price you wish either direct or market?,"I think for this a picture is worth a thousand words. This is a ""depth chart"" that I pulled from google images, specifically because it doesnt name any security. On the left you have all of the ""bids"" to buy this security, on the right you have the ""asks"" to sell the security. In the middle you have the bidask spread, this is the space between the highest bid and the lowest ask. As you can see you are free to place you order to the market to buy for 232, and someone else is free to place their order to the market to sell for 234. When the bid and the ask match theres a transaction for the maximum number of available shares. Alternatively, someone can place a market order to buy or sell and theyll just take the current market price. Retail investors dont really get access to this kind of chart from their brokers because for the most part the information isnt terribly relevant at the retail level.",What are the specific considerations and implications related to: Can you sell stockscommodities for any price you wish either direct or market?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
"How can I make 250,000.00 from tradinginvestingbusiness within 5 years? ","Deposit 3,500 each month in a brokerage account and invest that money across a handful of diversified index funds. Rebalance those investments every quarter. The hard part is coming up with 3,500 each month this is where your budget comes in.","What are the specific considerations and implications related to: How can I make 250,000.00 from tradinginvestingbusiness within 5 years?",This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Working for recruiter on W2 vs. working for client on 1099?,"The tax savings of being 1099 can be significant. It depends on your salary, and what you can deduct. You may want to consult with an accountant. The social security tax, for the self employed, is 12.4 of profit not on revenue. If you can write off more than half of the income as expenses then you could be paying less than a w2 employee. Also you might make a higher salary as a 1099, it is rare the offer the same compensation for a W2 as a 1099 as the former has higher expenses for the employer. It is hard to know without actual numbers, actual expected expense deductions and so forth. Which is why I would suggest consulting with an accountant. You may want to talk to one in the state where he will be working rather than where you live now.",What are the specific considerations and implications related to: Working for recruiter on W2 vs. working for client on 1099?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
How is yahoo finance PE Ratio TTM calculated?,"PE is Price divided by Earnings Per Share EPS. PE TTM is Price divided by the actual EPS earned over the previous 12 months  hence ""Trailing Twelve Month"". In Forward PE is the ""E"" is the average of analyst expectations for the next year in EPS. Now, as to whats being displayed. Yahoo shows EPS to be 1.34. 493.901.34  PE of 368.58 Google shows EPS to be 0.85. 493.400.85  PE of 580.47 Prices as displayed, respectively So, by the info that they are themselves displaying, its Google, not Yahoo, thats displaying the wrong PE. Note that the PE it is showing is 5.80  a decimal misplacement from 580 Note that CNBC shows the Earnings as 0.85 as well, and correctly show the PE as 580 httpdata.cnbc.comquotesBP.L A quick use of a currency calculator reveals a possible reason why EPS is listed differently at yahoo. 0.85 pounds is 1.3318 dollars, currently. So, I think the Yahoo EPS listing is in dollars. A look at the last 4 quarters on CNBC makes that seem reasonable httpdata.cnbc.comquotesBP.Ltab5 those add up to 1.40.",What are the specific considerations and implications related to: How is yahoo finance PE Ratio TTM calculated?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
What are good games to play to teach young children about saving money?,"I also saw a lot of reference to Mutual Mania Board Game, which is geared towards kids 11yrs and helps them learn about spending, saving, profit and loss.",What are the specific considerations and implications related to: What are good games to play to teach young children about saving money?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Does the profit of a company directly affect its stock or indirectly by causing people to buy or sell?,"Yes, the price of a stock is what investors think the value of a stock is, which is not tied to profits or dividends by any rigid formula. But to say that therefore the price could be high even though the company is doing very poorly is hypothetically true, but unlikely in practice. Consider any other product. There is no fixed formula for the value of a used car, either. If everyone agreed that a rusting, 20year old car that doesnt run is worth 100,000, then thats what it would sell for. But thats a pretty big ""if"" at the beginning of that sentence. If the car had been used in some hit TV show 20 years ago, or if it was owned by a celebrity, or some such special case, maybe a rusting old car really would sell for 100,000. Likewise, a stock might have a price higher than what one would predict from its dividends if some rich person wanted to buy that company because the brand name brings back nostalgic memories from his youth and so he drives the price up, etc. But the normal case is that, in the long term, the price of a stock tends to settle on a value proportional to the dividends that it pays. Or rather, and this is a big caveat, the dividends that investors expect it to pay in the future. And then adjusted for all sorts of other factors and special situations, like the value of the company if it was to be liquidated, etc.",What are the specific considerations and implications related to: Does the profit of a company directly affect its stock or indirectly by causing people to buy or sell?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Why is the breakdown of a loan repayment into principal and interest of any importance?,"The breakdown between how much of your payment is going toward principal and interest is very important. The principal balance remaining on your loan is the payoff amount. Once the principal is paid off, your loan is finished. Each month, some of your payment goes to pay off the principal, and some goes to pay interest profit for the bank. Using your example image, lets say that youve just taken out a 300k mortgage at 5 interest for 30 years. You can click here to see the amortization schedule on that loan. The monthly payment is 1610.46. On your first payment, only 360 went to pay off your principal. The rest 1250 went to interest. That money is lost. If you were to pay off your 300k mortgage after making one payment, it would cost you 299,640, even though you had just made a payment of 1250. Interest accrues on the principal balance, so as time goes on and more of the principal has been paid, the interest payment is less, meaning that more of your monthly payment can go toward the principal. 15 years into your 30year mortgage, your monthly payment is paying 762 of your principal, and only 849 is going toward interest. Your principal balance at that time would be about 203k. Even though you are halfway done with your mortgage in terms of time, youve only paid off about a third of your house. Toward the end of your mortgage, when your principal balance is very low, almost all of your payment goes toward principal. In the last year, only 513 of your payments goes toward interest for the whole year. You can think of your monthly loan payment as a minimum payment. If you continue to make the regular monthly payments, your mortgage will be paid off in 30 years. However, if you pay more than that, your mortgage will be paid off much sooner. The extra that you pay above your regular monthly payment all goes toward principal. Even if you have no plans to pay your mortgage ahead of schedule, there are other situations where the principal balance matters. The principal balance of your mortgage affects the amount of equity that you have in your home, which is important if you sell the house. If you decide to refinance your mortgage, the principal balance is the amount that will need to be paid off by the new loan to close the old loan.",What are the specific considerations and implications related to: Why is the breakdown of a loan repayment into principal and interest of any importance?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
What do people mean when they talk about the central bank providing cheap money? What are the implications for the stock market?,"Newspapers write a lot about the central bank stopping ""cheap money"" in the US. What is that exactly and what are the implications for the stock market? An interest rate is simply defined as the price of money. So if money is cheap, it must mean there is a low interest rate compared to normal. If milk is cheap, were comparing it to past prices or prices at competitors stores. Same with money. I dont think its fair to say just because the supply of dollars rises that the value of dollars will go down. Value or price is determined by supply and demand, not just supply. Its possible for the demand for dollars to be stronger than the rising supply, which would drive the price higher. A good example of this is to look at the value of the dollar recently. The Fed has been printing 85 billion per month, yet the value of them is going up compared to foreign currencies, gold, and just about everything. Why? Because the Fed has merely threatened to stop, but it hasnt stopped. That alone was enough to increase demand above supply. So if you want to know what will happen, take a look at what IS happening. When cheap money ends, the value of the dollar will go up, interest rates will go up. This will be a drag on the economy. It will be more difficult for companies to show profits and earnings should decline. In addition, those who have grown accustom to the easy money and have overleveraged themselves ie REITs could go bankrupt.",What are the specific considerations and implications related to: What do people mean when they talk about the central bank providing cheap money? What are the implications for the stock market?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Why do employers require you to spread your 401k contributions throughout the year to get the maximum match?,"Theres no such requirement in general. If your particular employer requires that  you should address the question to the HRpayroll department. From my experience, matches are generally not conditioned on when you contribute, only how much.","What are the roles and responsibilities of the administrator, broker, and custodian in managing a Solo 401(k), especially during account setup and IRS reporting?","As the administrator of a Solo 401(k), you're responsible for compliance and IRS reporting. The broker executes trades, and the custodian holds your assets. Schwab often acts as both. You only file Form 5500 once assets exceed $250K."
Are there any rules against penalizing consumers for requesting accurate credit reporting?,"To answer the heart of your question, it would be illegal for any credit bureau or creditor to somehow ""penalize"" you just for trying to make sure that whats being reported about you is accurate. Thats why the Fair Credit Reporting Act exists  thats where the rights and mechanisms come from for letting you learn about and request accurate reporting of your credit history. Every creditor is responsible for reporting its own data to the bureaus, using the format provided by those bureaus for doing so. A creditor may not provide all of the information that can be reported, and it may not report information in as timely a manner as it could or should e.g., payments made may not show up for weeks or even months after they were made, etc.. The bottom line is that the credit bureaus are not arbiters of the data they report. They simply report. They dont draw conclusions, they dont make decisions on what data to report. If a creditor provides data that is within the parameters of what the bureaus ask to be provided, then the bureaus report precisely that  nothing more, nothing less. If there is an inaccuracy or mistake on your report, it is the fault and responsibility of the creditor, and it is therefore up to the creditor to correct it once it has been brought to their attention. Federal laws spell out the process that the bureau has to comply with when you file a dispute, and there are strict standards requiring the creditor to promptly verify valid information or remove anything which is not correct. The credit bureaus are simply automated clearinghouses for the information provided by the creditors who choose to subscribe to each bureaus system. A creditor can choose which or none of the bureaus they wish to report to, which is why some accounts show on one bureaus report on you but not anothers. What I caution is, just because a credit bureaus reports on your credit doesnt mean they have anything to do with the accuracy or detail of what is being reported. Thats up to the creditors.",What are the specific considerations and implications related to: Are there any rules against penalizing consumers for requesting accurate credit reporting?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
Debt collector has wrong person and is contacting my employer,"From a page on consumerfinance.gov A debt collector generally may not contact your employer or other thirdparties about the debt. Debt collectors may ask your employer to verify your employment, or ask for your address or telephone number. Note  they arent even allowed to tell the employer that they are trying to collect a debt. So  even if you were the guilty party, this isnt allowed. Theyve already broken very clear laws and thus are probably not trustworthy, so echoing what others have said dont give them your own personal information. If theyve done one days research on the law governing their industry they know this is illegal. If theyve actually gotten any money from your employer, its theft. If they havent then its just attempted theft. Contact the police regardless. Also  contact a lawyer. You may well have the right to sue them. Theyve broken Federal laws in a way that causes you injury. Odds are theyve broken state laws as well. One last point  do you even have proof that these are debt collectors collecting a real debt, rather than people trying to get you to give them your SSN? Perhaps their business plan is to look at company webpages and send bogus requests to the employers for some random employee and then see what information they get back Im not him, heres my personal information. Be very careful to not give any personally identifiable information date of birth, address, SSN, mothers maiden name, etc. Anything they ask about you dont provide.",What impact would a U.S. debt default have on personal bank accounts and financial markets in the short term?,"A default could shake markets, but your FDIC-insured bank deposits (up to $250K) would likely remain unaffected."
Apartment lease renewal  is this rate increase normal?,"There could be a number of reasons for a rent increase. The only information I can offer is how I calculate what rent I will charge. The minimum I would ever charge per unit Mortgage payment  Water  Number of units This number is the minimum because its what I need to keep afloat. Keep in mind these are ballpark numbers The target rent Mortgage payment  Water  Number of units1.60 I mark up the price 60 for a few reasons. First, the building needs a repair budget. That money has to come from somewhere. Second, I want to put away for my next acquisition and third I want to make a profit. These get me close to my rental price but ultimately it depends on your location and the comparables in the area. If my target rent is 600 a month but the neighbors are getting 700800 for the same exact unit I might ask more. It also depends on the types of units. Some of my buildings, all of the units are identical. Other buildings half of the units are bigger than the other half so clearly I wouldnt charge a equal amount for them. Ultimately you have to remember were not in the game to lose money. I know what my renters are going to pay before I even put an offer in on a building because thats how I stay in business. It might go up over the years but it will always outpace my expenses for that property.",What are the specific considerations and implications related to: Apartment lease renewal  is this rate increase normal?,This question requires a tailored strategy. Let's explore it in the context of your broader portfolio goals.
